Number Start Coordinate Stop Coordinate Color/Hardness 
1 40.0, 40.0, 41.0, 41.0, 30.0, 
2 41.0, 41.0, 42.0, 42.0, 30.0, 
3 42.0, 42.0, 43.0, 43.0, 30.0, 
4 43.0, 43.0, 44.0, 44.0, 30.0, 
5 44.0, 44.0, 45.0, 45.0, 30.0, 
6 45.0, 45.0, 46.0, 46.0, 30.0, 
7 46.0, 46.0, 47.0, 47.0, 30.0, 
8 47.0, 47.0, 48.0, 48.0, 30.0, 
9 48.0, 48.0, 49.0, 49.0, 30.0, 
10 49.0, 49.0, 50.0, 50.0, 30.0, 
11 50.0, 50.0, 51.0, 51.0, 30.0, 
12 51.0, 51.0, 52.0, 52.0, 30.0, 
13 52.0, 52.0, 53.0, 53.0, 30.0, 
14 53.0, 53.0, 54.0, 54.0, 30.0, 
15 54.0, 54.0, 55.0, 55.0, 30.0, 
16 55.0, 55.0, 56.0, 56.0, 30.0, 
17 56.0, 56.0, 57.0, 57.0, 30.0, 
18 57.0, 57.0, 58.0, 58.0, 30.0, 
19 58.0, 58.0, 59.0, 59.0, 30.0, 
20 59.0, 59.0, 60.0, 60.0, 30.0, 
21 60.0, 59.0, 61.0, 58.0, 30.0, 
22 61.0, 58.0, 62.0, 57.0, 30.0, 
23 62.0, 57.0, 63.0, 56.0, 30.0, 
24 63.0, 56.0, 64.0, 55.0, 30.0, 
25 64.0, 55.0, 65.0, 54.0, 30.0, 
26 65.0, 54.0, 66.0, 53.0, 30.0, 
27 66.0, 53.0, 67.0, 52.0, 30.0, 
28 67.0, 52.0, 68.0, 51.0, 30.0, 
29 68.0, 51.0, 69.0, 50.0, 30.0, 
30 69.0, 50.0, 70.0, 49.0, 30.0, 
31 70.0, 49.0, 71.0, 48.0, 30.0, 
32 71.0, 48.0, 72.0, 47.0, 30.0, 
33 72.0, 47.0, 73.0, 46.0, 30.0, 
34 73.0, 46.0, 74.0, 45.0, 30.0, 
35 74.0, 45.0, 75.0, 44.0, 30.0, 
36 75.0, 44.0, 76.0, 43.0, 30.0, 
37 76.0, 43.0, 77.0, 42.0, 30.0, 
38 77.0, 42.0, 78.0, 41.0, 30.0, 
39 78.0, 41.0, 79.0, 40.0, 30.0, 
40 79.0, 40.0, 80.0, 39.0, 30.0, 
41 40.0, 80.0, 41.0, 81.0, 30.0, 
42 41.0, 81.0, 42.0, 82.0, 30.0, 
43 42.0, 82.0, 43.0, 83.0, 30.0, 
44 43.0, 83.0, 44.0, 84.0, 30.0, 
45 44.0, 84.0, 45.0, 85.0, 30.0, 
46 45.0, 85.0, 46.0, 86.0, 30.0, 
47 46.0, 86.0, 47.0, 87.0, 30.0, 
48 47.0, 87.0, 48.0, 88.0, 30.0, 
49 48.0, 88.0, 49.0, 89.0, 30.0, 
50 49.0, 89.0, 50.0, 90.0, 30.0, 
51 50.0, 90.0, 51.0, 91.0, 30.0, 
52 51.0, 91.0, 52.0, 92.0, 30.0, 
53 52.0, 92.0, 53.0, 93.0, 30.0, 
54 53.0, 93.0, 54.0, 94.0, 30.0, 
55 54.0, 94.0, 55.0, 95.0, 30.0, 
56 55.0, 95.0, 56.0, 96.0, 30.0, 
57 56.0, 96.0, 57.0, 97.0, 30.0, 
58 57.0, 97.0, 58.0, 98.0, 30.0, 
59 58.0, 98.0, 59.0, 99.0, 30.0, 
60 59.0, 99.0, 60.0, 100.0, 30.0, 
61 60.0, 99.0, 61.0, 98.0, 30.0, 
62 61.0, 98.0, 62.0, 97.0, 30.0, 
63 62.0, 97.0, 63.0, 96.0, 30.0, 
64 63.0, 96.0, 64.0, 95.0, 30.0, 
65 64.0, 95.0, 65.0, 94.0, 30.0, 
66 65.0, 94.0, 66.0, 93.0, 30.0, 
67 66.0, 93.0, 67.0, 92.0, 30.0, 
68 67.0, 92.0, 68.0, 91.0, 30.0, 
69 68.0, 91.0, 69.0, 90.0, 30.0, 
70 69.0, 90.0, 70.0, 89.0, 30.0, 
71 70.0, 89.0, 71.0, 88.0, 30.0, 
72 71.0, 88.0, 72.0, 87.0, 30.0, 
73 72.0, 87.0, 73.0, 86.0, 30.0, 
74 73.0, 86.0, 74.0, 85.0, 30.0, 
75 74.0, 85.0, 75.0, 84.0, 30.0, 
76 75.0, 84.0, 76.0, 83.0, 30.0, 
77 76.0, 83.0, 77.0, 82.0, 30.0, 
78 77.0, 82.0, 78.0, 81.0, 30.0, 
79 78.0, 81.0, 79.0, 80.0, 30.0, 
80 79.0, 80.0, 80.0, 79.0, 30.0, 
81 60.0, 60.0, 60.0, 61.0, 30.0, 
82 60.0, 61.0, 60.0, 62.0, 30.0, 
83 60.0, 62.0, 60.0, 63.0, 30.0, 
84 60.0, 63.0, 60.0, 64.0, 30.0, 
85 60.0, 64.0, 60.0, 65.0, 30.0, 
86 60.0, 65.0, 60.0, 66.0, 30.0, 
87 60.0, 66.0, 60.0, 67.0, 30.0, 
88 60.0, 67.0, 60.0, 68.0, 30.0, 
89 60.0, 68.0, 60.0, 69.0, 30.0, 
90 60.0, 69.0, 60.0, 70.0, 30.0, 
91 60.0, 70.0, 60.0, 71.0, 30.0, 
92 60.0, 71.0, 60.0, 72.0, 30.0, 
93 60.0, 72.0, 60.0, 73.0, 30.0, 
94 60.0, 73.0, 60.0, 74.0, 30.0, 
95 60.0, 74.0, 60.0, 75.0, 30.0, 
96 60.0, 75.0, 60.0, 76.0, 30.0, 
97 60.0, 76.0, 60.0, 77.0, 30.0, 
98 60.0, 77.0, 60.0, 78.0, 30.0, 
99 60.0, 78.0, 60.0, 79.0, 30.0, 
100 60.0, 79.0, 60.0, 80.0, 30.0, 
101 60.0, 80.0, 60.0, 81.0, 30.0, 
102 60.0, 81.0, 60.0, 82.0, 30.0, 
103 60.0, 82.0, 60.0, 83.0, 30.0, 
104 60.0, 83.0, 60.0, 84.0, 30.0, 
105 60.0, 84.0, 60.0, 85.0, 30.0, 
106 60.0, 85.0, 60.0, 86.0, 30.0, 
107 60.0, 86.0, 60.0, 87.0, 30.0, 
108 60.0, 87.0, 60.0, 88.0, 30.0, 
109 60.0, 88.0, 60.0, 89.0, 30.0, 
110 60.0, 89.0, 60.0, 90.0, 30.0, 
111 60.0, 90.0, 60.0, 91.0, 30.0, 
112 60.0, 91.0, 60.0, 92.0, 30.0, 
113 60.0, 92.0, 60.0, 93.0, 30.0, 
114 60.0, 93.0, 60.0, 94.0, 30.0, 
115 60.0, 94.0, 60.0, 95.0, 30.0, 
